inmates_positive,staff_positive,inmate_deaths,staff_deaths,facility,city,state
Lompoc FCI,886,13,0,0,25,3,lompoc,CA
Fort Worth FMC,635,4,6,0,4,0,fort worth,TX
Forrest City Low FCI,244,1,0,0,50,2,forrest city,AR
Butner Medium I FCI,197,13,7,0,61,12,butner,NC
Lexington FMC,157,6,1,0,1,0,lexington,KY
Terminal Island FCI,150,15,7,0,552,0,san pedro,CA
Chicago MCC,104,15,0,0,39,14,chicago,IL
Elkton FCI,89,12,9,0,50,40,lisbon,OH
Oakdale I FCI,49,17,7,0,58,1,oakdale,LA
Yazoo City Low FCI,30,5,0,0,68,2,yazoo city,MS
Danbury FCI,27,7,1,0,48,50,danbury,CT
Fort Dix FCI,27,1,0,0,31,4,joint base mdl,NJ
Oklahoma City FTC,25,0,1,0,0,0,oklahoma city,OK
"GEO Reentry, Inc. (RRC)",23,0,0,0,0,0,leavenworth,KS
Lompoc USP,21,16,2,0,93,6,lompoc,CA
Hampshire House (RRC),20,0,0,0,0,0,manchester,NH
"Volunteers of America, Inc. (Minnesota) (RRC)",19,0,0,0,0,0,minneapolis,MN
Butner Low FCI,17,3,0,0,39,4,butner,NC
"Dismas Charities, Inc. (RRC)",14,0,0,0,0,0,corpus christi,TX
Milan FCI,13,11,3,0,58,45,milan,MI
Yazoo City USP,12,10,1,0,0,0,yazoo city,MS
"Volunteers of America Texas, Inc. (RRC)",8,0,0,0,0,0,hutchins,TX
"Community Resources for Justice, Inc. (RRC)",7,0,0,0,0,0,boston,MA
Butner FMC,5,5,0,0,0,2,butner,NC
Gilmer FCI,5,0,0,0,0,0,glenville,WV
Bennettsville FCI,3,2,0,0,1,0,bennettsville,SC
"Kintock Group, The (RRC)",3,0,0,0,0,0,philadelphia,PA
"Kintock Group, The (RRC)",3,0,0,0,0,0,newark,NJ
"Cherry Street Services, Inc. (RRC)",2,0,0,0,2,0,grand rapids,MI
"GEO Reentry of Alaska, Inc. (RRC)",2,0,0,0,0,0,oakland,CA
Watkinson House (RRC),2,0,0,0,0,0,hartford,CT
Aliceville FCI,1,4,0,0,9,3,aliceville,AL
Atlanta USP,1,6,0,0,15,3,atlanta,GA
"Behavioral Systems Southwest, Inc. (RRC)",1,0,0,0,0,0,los angeles,CA
"CORE Services Group, Inc. (RRC)",1,0,0,0,3,0,brooklyn,NY
Carswell FMC,1,0,1,0,0,0,fort worth,TX
Central Arizona Florence Correctional Complex (RRC),1,0,0,0,0,0,florence,AZ
Central Territorial of the Salvation Army; DBA Salvation Army Correctional Ser (RRC),1,0,0,0,8,0,chicago,IL
"Cherry Street Services, Inc. (RRC)",1,0,0,0,0,0,detroit,MI
Coleman Low FCI,1,1,0,0,0,1,sumterville,FL
Devens FMC,1,2,1,0,0,0,ayer,MA
"GEO Care, LLC (RRC)",1,0,0,0,0,0,sacramento,CA
"Keeton Corrections, Inc. (Birmingham) (RRC)",1,0,0,0,0,0,birmingham,AL
Oakdale II FCI,1,8,1,0,6,0,oakdale,LA
Otero County Prison Facility (RRC),1,0,0,0,0,0,charparral,NM
Pioneer Human Services; DBA:  Pioneer Industries (RRC),1,0,0,0,1,0,seattle,WA
"Southeast Missouri Behavioral Health, Inc.; DBA:  SEMO CTC (RRC)",1,0,0,0,0,0,farmington,MO
Volunteers of America of Greater Ohio (RRC),1,0,0,0,0,0,toledo,OH
"Volunteers of America of Western New York, Inc. (RRC)",1,0,0,0,0,0,rochester,NY
Yazoo City Medium FCI,1,6,0,0,6,2,yazoo city,MS
Allenwood Medium FCI,0,0,0,0,0,1,white deer,PA
Allenwood USP,0,0,0,0,0,1,allenwood,PA
Beaumont Low FCI,0,1,0,0,0,0,beaumont,TX
Beaumont Medium FCI,0,3,0,0,0,0,beaumont,TX
"Behavioral Systems Southwest, Inc. (RRC)",0,0,1,0,0,0,phoenix,AZ
Brooklyn MDC,0,17,0,0,6,20,brooklyn,NY
Canaan USP,0,1,0,0,1,3,waymart,PA
Central Office HQ,0,0,0,0,0,2,washington,DC
Coleman I USP,0,1,0,0,0,1,sumterville,FL
Coleman II USP,0,0,0,0,0,1,sumterville,FL
Community Education Centers; DBA:  CEC (RRC),0,0,0,0,2,0,philadelphia,PA
Cumberland FCI,0,2,0,0,6,0,cumberland,MD
Dismas House of St. Louis (RRC),0,0,0,0,2,0,saint louis,MO
El Reno FCI,0,1,0,0,0,0,el reno,OK
Englewood FCI,0,0,0,0,0,1,littleton,CO
Fairton FCI,0,1,0,0,0,1,fairton,NJ
Forrest City Medium FCI,0,3,0,0,5,3,forrest city,AR
"GEO Care, Inc. (RRC)",0,0,1,0,0,0,bronx,NY
Grand Prairie,0,1,0,0,0,0,grand prairie,TX
La Tuna FCI,0,1,0,0,0,1,anthony,TX
Leavenworth USP,0,0,0,0,0,1,leavenworth,KS
Lewisburg USP,0,1,0,0,0,0,lewisburg,PA
Los Angeles MDC,0,1,0,0,0,0,los angeles,CA
